month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
2023-09,Massachusetts,7758,1,4306,2586,1066,242,5,0,0,1,7,23,2,0,0,0,0,0,39,37,9,3,1,0,16086
2023-09,Michigan,15744,5197,16471,16313,1647,774,0,0,0,1,30,269,5,111,16,1,0,0,32,9,1,1,0,0,56622
2023-09,Minnesota,10882,36329,8341,14133,827,633,0,1,0,0,165,229,5,124,29,1,0,0,21,28,3,0,2,0,71753
2023-09,Mississippi,2375,0,6519,6247,402,377,0,12,4,1,1640,807,1,17,1,0,0,0,3,3,1,0,1,0,18411
2023-09,Missouri,923,194,15275,14310,1627,1214,0,6,5,0,1455,758,19,306,47,1,0,0,26,31,9,1,0,0,36207
2023-09,Montana,873,0,3871,5447,334,404,11,3,0,0,414,549,1,38,14,1,0,0,5,12,4,1,1,0,11983
2023-09,Nebraska,3634,150,112,1625,17,4,0,0,0,0,4,24,0,29,3,0,0,0,0,0,0,0,0,0,5602
2023-09,Nevada,2282,0,3967,2074,327,305,0,1,0,0,240,59,1,0,0,0,0,0,354,135,17,1,2,0,9765
2023-09,New Hampshire,1021,1,4966,3106,443,0,45,0,1,0,0,0,0,104,6,10,0,0,0,0,0,0,0,0,9703
2023-09,New Jersey,0,0,6157,3372,835,0,0,0,0,0,0,0,0,0,0,0,0,0,92,55,4,2,2,0,10519
2023-09,New Mexico,1317,0,5733,3873,503,329,0,5,7,0,423,311,2,62,1,0,0,0,90,49,1,2,1,0,12709
2023-09,New York,3555,2215,10511,14257,1318,448,0,1,0,0,46,63,6,55,72,1,1,18,374,367,26,12,8,0,33354
2023-09,North Carolina,10456,268,20144,11064,1167,842,0,16,11,1,2484,1064,11,734,107,2,2,1,23,12,1,0,0,0,48410
2023-09,North Dakota,383,7,1508,3088,122,91,0,0,2,0,53,91,1,13,0,0,0,0,0,2,0,0,0,0,5361
2023-09,Ohio,6841,1179,18621,14068,1400,1108,0,5,1,1,1447,556,5,290,79,32,0,0,15,8,2,0,1,0,45659
2023-09,Oklahoma,2833,1,9595,8238,1155,925,0,9,8,0,1809,1097,12,111,7,0,0,0,10,13,11,1,1,0,25836
2023-09,Oregon,4884,222,11690,9902,1684,22,5,0,0,0,12,3,0,195,56,1,0,0,406,288,37,0,0,0,29407
2023-09,Pennsylvania,25921,1,35055,19948,26,0,296,0,0,0,0,0,0,748,77,1,0,0,0,0,0,0,0,0,82073
2023-09,Puerto Rico,0,0,3458,332,41,46,0,0,0,0,44,5,0,0,0,0,0,0,973,114,4,3,0,0,5020
2023-09,Rhode Island,0,0,923,536,77,89,0,0,0,0,2,2,0,24,11,4,0,0,2,4,0,0,1,0,1675
2023-09,South Carolina,8671,412,8332,6338,820,436,0,7,2,0,894,372,5,232,24,21,0,0,6,5,3,0,0,0,26580
2023-09,South Dakota,776,51,1512,3308,117,136,0,0,0,0,116,101,0,1,0,4,0,0,7,14,5,0,0,0,6148
2023-09,Tennessee,4569,6396,22481,15142,1597,0,0,0,0,0,1,0,0,147,5,0,0,0,0,0,0,0,0,0,50338
2023-09,Texas,23479,0,46450,35984,3761,2742,23,25,8,4,7687,2864,79,269,22,0,0,0,43,33,6,0,3,0,123482
2023-09,Utah,9019,58657,3894,4299,664,0,0,5,7,2,239,243,0,187,39,45,0,0,0,0,0,0,0,0,77300
2023-09,Vermont,0,0,1212,1690,96,101,3,1,3,0,7,20,6,0,0,0,0,0,2,7,0,0,0,0,3148
2023-09,Virgin Islands,111,25,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,191
2023-09,Virginia,376,141,20489,14552,3110,0,0,0,0,0,0,0,0,453,33,0,0,0,0,0,0,0,0,0,39154
2023-09,Washington,12090,364,13141,8428,1011,49,34,0,5,3,516,472,16,550,86,15,0,0,335,291,86,7,9,0,37508
2023-09,West Virginia,1794,131,4020,5183,252,343,2,3,0,0,802,703,2,25,2,2,0,0,3,6,0,0,0,0,13273
2023-09,Wisconsin,11408,728,12987,14352,847,50,0,0,0,3,167,180,10,120,37,3,0,0,0,5,0,0,0,0,40897
2023-09,Wyoming,504,18,1902,2393,167,117,14,0,0,0,154,164,2,34,0,0,0,0,1,3,1,0,0,0,5474
2023-08,Alabama,10514,117,16323,12014,1243,996,0,7,6,1,2415,964,20,102,0,0,0,0,40,26,13,1,1,1,44804
2023-08,Alaska,229,16,2567,2677,287,179,0,0,0,0,168,105,1,33,14,0,0,0,0,2,0,0,0,0,6278
2023-08,Arizona,12938,2199,14352,7957,1594,974,0,15,2,1,1310,449,15,264,12,0,0,0,3,6,1,0,1,0,42093
2023-08,Arkansas,3022,288,5821,5335,469,428,5,13,7,0,1102,812,2,0,0,0,0,0,8,24,2,0,0,0,17338
2023-08,California,33355,16198,32817,22053,4091,0,0,0,0,1,705,313,60,4511,1922,120,0,0,7674,3297,518,17,10,0,127662
2023-08,Colorado,7833,8,16006,10591,1453,1616,0,0,0,0,0,0,0,322,51,1,0,0,0,0,0,0,0,0,37881
2023-08,Connecticut,7643,568,4681,1728,265,0,1,0,0,0,0,0,0,0,0,0,0,0,466,164,12,0,0,0,15528
2023-08,Delaware,431,0,1558,1000,93,74,0,0,0,0,30,11,0,57,0,0,0,0,31,4,1,1,0,0,3291
2023-08,District of Columbia,921,0,239,8,1,2,3,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1197
2023-08,Florida,8781,0,55034,19438,5008,2995,0,7,2,0,3808,895,4,1497,121,6,0,0,235,140,67,61,31,2,98132
